Location,Resturant ,Link
Piliyandala,u-Fresh Beverages,https://www.ubereats.com/lk/store/u-fresh-beverages/GFvv9VnwQ2Oj4d1BR88IZA?diningMode=DELIVERY&sc=SEARCH_SUGGESTION
Piliyandala,K K S Juice Bar,https://www.ubereats.com/lk/store/k-k-s-juice-bar-piliyandala/uhFT0rOoXHefN6D6-wc5Eg?diningMode=DELIVERY
Boralesgamuwa,Manuth Juice Bar ,https://www.ubereats.com/lk/store/manuth-juice-bar-boralesgamuwa/26e8CpZ7VKurd4o87jMUvA?diningMode=DELIVERY
Nugegoda,Warnakula Juice Bar,https://www.ubereats.com/lk/store/warnakula-juice-bar-nugegoda/22DNlLPSV9WAlFSx_vlOCw?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBpbGl5YW5kYWxhJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSlhjeUIwcEZQNGpvUlR1ZmdQTTB2Uy1vJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTYuODAxNzU3NSUyQyUyMmxvbmdpdHVkZSUyMiUzQTc5LjkyMjczMTMlN0Q%3D
Nugegoda,Malithi Juice Bar,https://www.ubereats.com/lk/store/malithi-juice-bar-nugegoda/MWGJXtldWA60TDk2CbHn2Q?diningMode=DELIVERY
Moratuwa,Igloo Smoothie Caf‚,https://www.ubereats.com/lk/store/igloo-smoothie-cafe-moratuwa/IpDqaEyrXh6-2tFdf-zxYg?diningMode=DELIVERY
Maharagama,Boon Chat Juice Bar,https://www.ubereats.com/lk/store/boon-chat-juice-bar-maharagama/HKDSE7agSpyQpmPSQX7CpQ?diningMode=DELIVERY
Pannipitiya,Minrel Juice Mart,https://www.ubereats.com/lk/store/minrel-juice-mart-pannipitiya/yRnokAZcWCm_oSEt01jgeg?diningMode=DELIVERY
Pannipitiya,Juice Bar With Chef Shakila ,https://www.ubereats.com/lk/store/juice-bar-with-chef-shakila-pannipitiya/8nlnbitZX2CY40BIDK2eFQ?diningMode=DELIVERY
Kotte,Minadhi juice bar,https://www.ubereats.com/lk/store/minadhi-juice-bar-kotte/UBO5AA0RUK63FLMo_OTtmw?diningMode=DELIVERY
Dehiwala,Kifa Juice,https://www.ubereats.com/lk/store/kifa-juice-dehiwala/CwGf5PPgSN2KURHI5G8utA?diningMode=DELIVERY
Kotte,Mango Friends?,https://www.ubereats.com/lk/store/mango-friendstm-kotte/W13wR-gqXV2z8Sq1W3HCdw?diningMode=DELIVERY
Kadawatha,Fresh Juice Kadawatha,https://www.ubereats.com/lk/store/fresh-juice-kadawatha/Dr5FvK1gWT2q67wK1NkiDA?diningMode=PICKUP&
Kesbewa,Jugo Juice,https://www.ubereats.com/lk/store/jugo-juice-kesbewa/5Ih0l1AYRyWlX8pD8i12mQ?diningMode=DELIVERY
Boralasgamuwa,JUICE LAND,https://www.ubereats.com/lk/store/juice-land-boralasgamuwa/STRz9893UkOwLtQaPcvxeQ?diningMode=DELIVERY
Moratuwa,Roots Budget Juice Bar,https://www.ubereats.com/lk/store/roots-budget-juice-bar-moratuwa/f-0zk2G5Vwq-wIZl_49AiA?diningMode=DELIVERY
Piliyandala,The Lassi House ,https://www.ubereats.com/lk/store/the-lassi-house-piliyandala/BDYVWXc0U8qX-32REAYzTw?diningMode=DELIVERY&ps=1
Maharagama,Sisila Fruit Center ,https://www.ubereats.com/lk/store/sisila-fruit-center-maharagama/ZOoQ6RnUQEuqgZEDe3Y2uA?diningMode=DELIVERY&ps=1
Boralesgamuwa,Mahesha Fruit Center,https://www.ubereats.com/lk/store/mahesha-fruit-center-boralesgamuwa/T98-XblNSVW21ttZPRRtXw?diningMode=DELIVERY&ps=1
Moratuwa,Squeeze Borupona Road,https://www.ubereats.com/lk/store/squeeze-borupona-road/slB5HFqgSC-9CvMqwN_O4w?diningMode=DELIVERY&ps=1
Piliyandala,Fresh Juice ,https://www.ubereats.com/lk/store/fresh-juice-piliyandala/v9lDbpE_QvyaBh5rXVByDA?diningMode=DELIVERY&ps=1
Moratuwa,Juice Life,https://www.ubereats.com/lk/store/juice-life-moratuwa/yNVXOEa-Sk2ObKtmQ6uLxw?diningMode=DELIVERY
Maharagama,Lemonade Lounge,https://www.ubereats.com/lk/store/lemonade-lounge-maharagama/qxhdDKSgX7y8Y7D7TedZoA?diningMode=DELIVERY&ps=1
Dehiwala Mount Lavinia,TEA TEAM RECIPES,https://www.ubereats.com/lk/store/tea-team-recipes-dehiwala-mount-lavinia/E9CGjXwhR9qQflKV-xmQVw?diningMode=DELIVERY&ps=1
Pilyandala,Sip & Smile,https://www.ubereats.com/lk/store/sip-%26-smile-pilyandala/9ibDnrtkSRKWHI8X4Hqgmg?diningMode=DELIVERY
Piliyandala,The Juice Hut ,https://www.ubereats.com/lk/store/the-juice-hut-piliyandala/M_4EGWgfRsWvcEE0m9hlqw?diningMode=DELIVERY&ps=1
Piliyandala,Mali Juice and Desert's ,https://www.ubereats.com/lk/store/mali-juice-and-deserts-piliyandala/g--W7WMPTZ6Nfb4aGNq1sA?diningMode=DELIVERY
Moratuwa,Mc Juice Bar,https://www.ubereats.com/lk/store/mc-juice-bar-moratuwa/hcBOwhLQRsuQU1qYTrbDFQ?diningMode=DELIVERY&ps=1
Rathmalana,Bethany Healthy Juice Bar,https://www.ubereats.com/lk/store/bethany-healthy-juice-bar-rathmalana/MhquBnRgTMusbOdtdX0kgA?diningMode=DELIVERY
Moratuwa,Eats & Treats,https://www.ubereats.com/lk/store/eats-%26-treats-moratuwa/TESApyJyTm-pB_n0BsrScQ?diningMode=DELIVERY
Polgasovita,Master Caf‚-Polgasovita,https://www.ubereats.com/lk/store/master-cafe-polgasovita/QcGg2iLsVRacqR9E6ToSrw?diningMode=DELIVERY
Katuwawala,Choco Juice - Katuwawala,https://www.ubereats.com/lk/store/choco-juice-katuwawala/EpeEF3KCTd6IvTq7_9Xj0Q?diningMode=DELIVERY
Ratmalana,Piyali Juice Bar - Ratmalana,https://www.ubereats.com/lk/store/piyali-juice-bar-ratmalana/1Lc0QRvyU0CFUtPnNBVk4A?diningMode=DELIVERY
 Moratuwa,Fresh Burst - Moratuwa,https://www.ubereats.com/lk/store/fresh-burst-moratuwa/LBB9bUNCV8yFmrz-0Xzcsg?diningMode=DELIVERY
Mount Lavinia,"

The Monkey Bar - Mount Lavinia",https://www.ubereats.com/lk/store/the-monkey-bar-mount-lavinia/NIubPMnTSHy2fBChO5lFvA?diningMode=DELIVERY
Piliyandala,Cafe Lavender - Piliyandala,https://www.ubereats.com/lk/store/cafe-lavender-piliyandala/5Qm8pDJtXBqfRjvDhDH4sA?diningMode=DELIVERY
Maharagama,king's Juices - Maharagama,https://www.ubereats.com/lk/store/kings-juices-maharagama/qdThIAY5SiGJQFI8AxoVEw?diningMode=DELIVERY&ps=1
Boralesgamuwa,SK Nature?s Fresh - Boralesgamuwa,https://www.ubereats.com/lk/store/sk-natures-fresh-boralesgamuwa/_Iob2dlZVzOWXuP-zixtvA?diningMode=DELIVERY
Mattegoda,Havenio Dessert Island - Mattegoda,https://www.ubereats.com/lk/store/havenio-dessert-island-mattegoda/07xw_ow6XwiEtCKu10xM9Q?diningMode=DELIVERY&ps=1
Maharagama,Thilaka Jayanthi Cool Spot - Maharagama,https://www.ubereats.com/lk/store/thilaka-jayanthi-cool-spot-maharagama/RRPIt7SZQeWtrWXTgoMmZQ?diningMode=DELIVERY&ps=1
 Maharagama,Navinna Cool Spot - Maharagama,https://www.ubereats.com/lk/store/navinna-cool-spot-maharagama/HII9Ayc6QfqFFc4VI5v5Dw?diningMode=DELIVERY
Maharagama,Looks Fruitz Factory - Maharagama,https://www.ubereats.com/lk/store/looks-fruitz-factory-maharagama/dh4wfK78T2ex76lVGo061A?diningMode=DELIVERY&ps=1
Polgasovita,Fresh Juice-Werahara,https://www.ubereats.com/lk/store/fresh-juice-werahara/3f_pEuDiSUy267wi2Il5eg?diningMode=DELIVERY
Borelasgamuwa ,Gevin Achcharu Hut - Borelasgamuwa,https://www.ubereats.com/lk/store/gevin-achcharu-hut-borelasgamuwa/nw9TsiBwVIazLSw8KOETQg?diningMode=DELIVERY
Rathmalana,DND Store - Rathmalana,https://www.ubereats.com/lk/store/dnd-store-rathmalana/gV-bJj2-XY-i-FnBPIgxOQ?diningMode=DELIVERY&ps=1
Dehiwala,Fruity Bar - Dehiwala,https://www.ubereats.com/lk/store/fruity-bar-dehiwala/xlPycmttWLuu6mem4zxRbg?diningMode=DELIVERY
 Rathmalana,Juice Barrel - Rathmalana,https://www.ubereats.com/lk/store/juice-barrel-rathmalana/IdN3c8OhRvuXcPx9h6qXXg?diningMode=DELIVERY
 Ratmalana,Dhanu Food and Juice - Ratmalana,https://www.ubereats.com/lk/store/dhanu-food-and-juice-ratmalana/PJYleA9XTcmB04Bswx5n3Q?diningMode=DELIVERY
 Mount Lavinia,The Fresh Blends - Mount Lavinia,https://www.ubereats.com/lk/store/the-fresh-blends-mount-lavinia/l23JrdiQSV2D5ZUZFgSjvA?diningMode=DELIVERY&ps=1
Mount Lavinia,"

Ceylon Fresh Juice Bar - Mount Lavinia",https://www.ubereats.com/lk/store/ceylon-fresh-juice-bar-mount-lavinia/4kxdVkTNVtSftr7ftrIWwg?diningMode=DELIVERY
Mount Lavinia,Shake's,https://www.ubereats.com/lk/store/shakes/G0PSj6lxVqeDWXM9VaOp4Q?diningMode=DELIVERY
Moratuwa,MB Juice Bar - Moratuwa,https://www.ubereats.com/lk/store/mb-juice-bar-moratuwa/15Xu9u7ZXT-6CBn12RsmFg?diningMode=DELIVERY
Dehiwala,Tanu Cool Spot - Dehiwala,https://www.ubereats.com/lk/store/tanu-cool-spot-dehiwala/fZGnvau2XGyrAebCMZLD5A?diningMode=DELIVERY
Maharagama,Rishi Fruits - Maharagama,https://www.ubereats.com/lk/store/rishi-fruits-maharagama/UWIBgLqiUYWUdZ4FizVkJQ?diningMode=DELIVERY
 Dehiwala,Bfresh - Dehiwala,https://www.ubereats.com/lk/store/bfresh-dehiwala/aOmWWhzmQ4SLO_R-ckmkMA?diningMode=DELIVERY
 Nugegoda,Canada City Juice Bar - Nugegoda,https://www.ubereats.com/lk/store/canada-city-juice-bar-nugegoda/Pb1rFeIuXmykPZCW2d86Lg?diningMode=DELIVERY&ps=1
Maharagama,SNTD Juice Bar - Maharagama,https://www.ubereats.com/lk/store/sntd-juice-bar-maharagama/2zMg4CuiSDC-UxA_i_3dwg?diningMode=DELIVERY
Dehiwala,Freezy - Dehiwala,https://www.ubereats.com/lk/store/freezy-dehiwala/MBgGVIWJSxaGSKLqvi_jZw?diningMode=DELIVERY&ps=1
Mount Lavinia,Mint Blossoms - Mount Lavinia,https://www.ubereats.com/lk/store/mint-blossoms-mount-lavinia/HKTvv0KpSLODJkOCkw5NHw?diningMode=DELIVERY
Sri Jayewardenepura Kotte,The Frutzbox Colombo - Sri Jayewardenepura Kotte,https://www.ubereats.com/lk/store/the-frutzbox-colombo-sri-jayewardenepura-kotte/GYbOxIorRWWgVeEfL1szuw?diningMode=DELIVERY
 Nugegoda,Canberra Home Juice Bar - Nugegoda,https://www.ubereats.com/lk/store/canberra-home-juice-bar-nugegoda/9lI8U6b5WIqQhGxKpRzNLQ?diningMode=DELIVERY&ps=1
Thalawathugoda,Boba Club-Thalawathugoda,https://www.ubereats.com/lk/store/boba-club-thalawathugoda/h_Y3jFU7V1-IvMImSqoH0g?diningMode=DELIVERY&ps=1
 Nugegoda,Juicy Fruit Bar Mirihana - Nugegoda,https://www.ubereats.com/lk/store/juicy-fruit-bar-mirihana-nugegoda/Y4wKybmjXgqgD11rMQZZ6Q?diningMode=DELIVERY&ps=1
 Nugegoda,Fruit Juice Bar - Nugegoda,https://www.ubereats.com/lk/store/fruit-juice-bar-nugegoda/I-c5Q9v6SE2_XnWsOVc8OA?diningMode=DELIVERY
 Nugegoda,Tastemore juice hut,https://www.ubereats.com/lk/store/tastemore-juice-hut/PCvpspp5XO2AZWTw_SN0Hw?diningMode=DELIVERY&ps=1
Dehiwala,AK Mayu Food,https://www.ubereats.com/lk/store/ak-mayu-food/PfW7VEs_Uda099XtCSh9MQ?diningMode=DELIVERY&ps=1
 Kotte,AnK Fresh Juice - Kotte,https://www.ubereats.com/lk/store/ank-fresh-juice-kotte/mzXxY3jyWZK3wAtgIzuX8A?diningMode=DELIVERY
Nugegoda,Chill Hut by Vajja - Nugegoda,https://www.ubereats.com/lk/store/chill-hut-by-vajja-nugegoda/RhPjS5OXSYWhQIIcjGplqA?diningMode=DELIVERY
Kottawa North,Bakes N' Shakes - Kottawa North,https://www.ubereats.com/lk/store/bakes-n-shakes-kottawa-north/hmf24cGwTqSJZ13gRiUGfA?diningMode=DELIVERY
Nugegoda,"

Sanjeewani Juice Bar - Nugegoda",https://www.ubereats.com/lk/store/sanjeewani-juice-bar-nugegoda/7er2j0aUVoWPHm_9OqC_kw?diningMode=DELIVERY&ps=1
Nugegoda,"

Shanthi Cream House",https://www.ubereats.com/lk/store/shanthi-cream-house/h4z-o3AJSj-5H7nxoLcDOw?diningMode=DELIVERY
Nugegoda,"

Highland Milk and Juice Bar - Nugegoda",https://www.ubereats.com/lk/store/highland-milk-and-juice-bar-nugegoda/ptqHSEC7QCqDDWDOs3VF0A?diningMode=DELIVERY
Moratuwa,Try Me Juice - Moratuwa,https://www.ubereats.com/lk/store/try-me-juice-moratuwa/lWEe2GS5TTm3D81qv69rRA?diningMode=DELIVERY
 Pita Kotte,Lucky Food Corner and Juice Bar Pita Kotte - Pita Kotte,https://www.ubereats.com/lk/store/lucky-food-corner-and-juice-bar-pita-kotte-pita-kotte/WcNRf2Q6W46j79j_xZIsPA?diningMode=DELIVERY&ps=1
 Nugegoda,Whoopi Nz - Nugegoda,https://www.ubereats.com/lk/store/whoopi-nz-nugegoda/MdEw5Y7iXXW3x24sft7PYg?diningMode=DELIVERY
Panadura,Yummy Foods & Juices,https://www.ubereats.com/lk/store/yummy-foods-%26-juices/cnrYUTHxQ-Wx9r1m-TW7-Q?diningMode=DELIVERY
Panadura,Blend & Bloom - Panadura,https://www.ubereats.com/lk/store/blend-%26-bloom-panadura/XS9n6PDeTwOs_FNMUUrotg?diningMode=DELIVERY
"542 R. A. De Mel Mawatha, Colombo, Western Province 03",Cherries,https://www.ubereats.com/lk/store/cherries/tZqie4GESGKKO3SkYa86tA?diningMode=DELIVERY
Battaramulla,Be Cool - Battaramulla,https://www.ubereats.com/lk/store/be-cool-battaramulla/sCjyB_SzTfST-vgDi-pgCg?diningMode=DELIVERY
Rajagiriya ,Sky Fresh Juice,https://www.ubereats.com/lk/store/sky-fresh-juice/4BuPXlTvSpGEzplvd6dP8g?diningMode=DELIVERY
Malabe,Frozen 77 - Malabe,https://www.ubereats.com/lk/store/frozen-77-malabe/CZaoiFGoTjOZwx1zmUF6Hg?diningMode=DELIVERY
Pelawatta,Wellice juice,https://www.ubereats.com/lk/store/wellice-juice/ZLSOxui2UpuxiIEFl0cdxw?diningMode=DELIVERY
"227/20,Mahavidyala Mawatha Colombo 13, India SA 01300",Happy Sips Juice Bar,https://www.ubereats.com/lk/store/happy-sips-juice-bar/YhbrRyScX_u2JpzXKgDV3A?diningMode=DELIVERY
".No. 51/1  St Michael Road  Colombo 03., ",Yamrich Milk and Juice Bar,https://www.ubereats.com/lk/store/yamrich-milk-and-juice-bar/iUybcEhoQhSqoEkTIm5hkw?diningMode=DELIVERY
Wattala,The Juice Studio - Wattala,https://www.ubereats.com/lk/store/the-juice-studio-wattala/FmdRVN8URMaMLyq-JlPdPg?diningMode=DELIVERY
 Colombo 13,Juicy Ceylon - Colombo 13,https://www.ubereats.com/lk/store/juicy-ceylon-colombo-13/uzXicCgnRUW9ryv6xz_ihA?diningMode=DELIVERY
 Kolonnawa,Juice bar 24x7 - Kolonnawa,https://www.ubereats.com/lk/store/juice-bar-24x7-kolonnawa/QK4gNxzhT3CX5AEtjZObnA?diningMode=DELIVERY
"79b Galle Rd, Dehiwala-Mount Lavinia 10350, Sri Lanka, ",Boost Juice Bar,https://www.ubereats.com/lk/store/boost-juice-bar/5tVvLx4AT7mCDmsGFqMElA?diningMode=DELIVERY
Hokandara,Juice On 94th - Hokandara,https://www.ubereats.com/lk/store/juice-on-94th-hokandara/yNQUUNYPWoSCVEgmi8zFfA?diningMode=DELIVERY
 Kotte,Green zone - Kotte,https://www.ubereats.com/lk/store/green-zone-kotte/1y_QC5_QSiq03VAqWkJFeA?diningMode=DELIVERY
 Pitakotte,A & G Juice Bar - Pitakotte,https://www.ubereats.com/lk/store/a-%26-g-juice-bar-pitakotte/sIgH5evyUV6mF1jFWqubMA?diningMode=DELIVERY&ps=1
 Pelawatta,Pelawatta Juice Bar - Pelawatta,https://www.ubereats.com/lk/store/pelawatta-juice-bar-pelawatta/-miXdOGTUBixbIMTXF_b4Q?diningMode=DELIVERY
"85a Peterson Lane, Wellawatta, Colombo 06, Lk,",Cone Vita Ice Cream and Juice Bar,https://www.ubereats.com/lk/store/cone-vita-ice-cream-and-juice-bar/WE8niVeUT1KP_dZzSzOqdg?diningMode=DELIVERY&ps=1
Panadura,Methu Juice Bar - Panadura,https://www.ubereats.com/lk/store/methu-juice-bar-panadura/9I4liLmAUVaBwo1xsfCnCQ?diningMode=DELIVERY
Baththaramulla,Boon chat juice corner - Baththaramulla,https://www.ubereats.com/lk/store/boon-chat-juice-corner-baththaramulla/NAtvMsQxRZWG945zKwWY6Q?diningMode=DELIVERY
Ethulkotte,Gusto - Ethulkotte,https://www.ubereats.com/lk/store/gusto-ethulkotte/IY0Ud8SNRbu0HnCeKwr6rw?diningMode=DELIVERY
Panadura,"

New Hilarious Juice and Burger - Panadura",https://www.ubereats.com/lk/store/new-hilarious-juice-and-burger-panadura/jLkwKkMxTYCeRdWRHWS2oQ?diningMode=DELIVERY&ps=1
Koswatta,Boon Chat - Koswatta,https://www.ubereats.com/lk/store/boon-chat-koswatta/-TB3Y73DQSGj-VKrh4vluQ?diningMode=DELIVERY
Thalangama,Purple Pine Juice Bar - Thalangama,https://www.ubereats.com/lk/store/purple-pine-juice-bar-thalangama/aYj25XrtSki3JKZeTfFEJg?diningMode=DELIVERY
Colombo 03,Fresh Fruits Juice - Colombo 03,https://www.ubereats.com/lk/store/fresh-fruits-juice-colombo-03/y0HZWoPdQfqWT2HlUwuSmA?diningMode=DELIVERY
 Colombo 03,Fiji Cool Bar - Colombo 03,https://www.ubereats.com/lk/store/fiji-cool-bar-colombo-03/zcSdNV0vTHu0NX3w40yI3g?diningMode=DELIVERY
"106 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka, 07",The Brown Bean Coffee,https://www.ubereats.com/lk/store/the-brown-bean-coffee/ApKO-qZbQTmgaEgKuE7pcA?diningMode=DELIVERY
 Wattala,Smoothys - Wattala,https://www.ubereats.com/lk/store/smoothys-wattala/-RGADY0wTn--ZdqyMhgHdg?diningMode=DELIVERY
 Kaduwela,Soupy Nation Cafe - Kaduwela,https://www.ubereats.com/lk/store/soupy-nation-cafe-kaduwela/xHI0PLaiVBCpwcHRfg5onw?diningMode=DELIVERY
Kelaniya,Udawalawa Fresh Juice - Kelaniya,https://www.ubereats.com/lk/store/udawalawa-fresh-juice-kelaniya/RRRhXUXyRWCSZLHuiMF7JQ?diningMode=DELIVERY
"No.469 Prince Of Wales Col.14, A F3 U9, Colombo, Western 01",Happy Sips,https://www.ubereats.com/lk/store/happy-sips/A0x7bP_GT5Snq1ZGZ34DsA?diningMode=DELIVERY
Peliyagoda,Thambli Juice Bar - Peliyagoda,https://www.ubereats.com/lk/store/thambli-juice-bar-peliyagoda/rxm_NhMhVA68rjpD5wuSgw?diningMode=DELIVERY
 Kelaniya,Samarakoon Juice Bar - Kelaniya,https://www.ubereats.com/lk/store/samarakoon-juice-bar-kelaniya/f5AbO4GpSGyzCpzrc30U7Q?diningMode=DELIVERY
 Ragama,Mr Bun - Ragama,https://www.ubereats.com/lk/store/mr-bun-ragama/DL-FTZ3zTS6N4gBhSOYQaQ?diningMode=DELIVERY
